City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,chachapoyas,-6.2317,-77.869,284.46,96,88,0.61,PE,1674530247
242,dikson,73.5069,80.5464,250.08,84,100,15.66,RU,1674530248
243,astorga,-23.2325,-51.6656,293.46,87,100,0.45,BR,1674530248
244,san juan de los lagos,21.25,-102.3,288.49,37,65,4.1,MX,1674530249
245,minna,9.6139,6.5569,295.99,56,0,2.57,NG,1674530250
246,sao filipe,14.8961,-24.4956,294.4,65,2,3.35,CV,1674530250
247,huilong,31.8111,121.655,273.11,41,12,12.42,CN,1674530251
248,grand gaube,-20.0064,57.6608,296.69,82,100,0.35,MU,1674530252
249,nabire,-3.3667,135.4833,303.18,62,100,1.54,ID,1674530253
250,vostok,46.4856,135.8833,240.89,85,100,3.22,RU,1674530254
251,gurupi,-11.7292,-49.0686,296.11,84,92,0.5,BR,1674530255
252,dovers,12.8833,-61.1833,298.76,77,50,8.82,VC,1674530255
253,vanimo,-2.6741,141.3028,297.72,93,100,1.8,PG,1674530256
254,cody,44.5263,-109.0565,270.27,80,0,5.66,US,1674530242
255,novo aripuana,-5.1206,-60.3797,295.32,97,72,0.12,BR,1674530257
256,bambous virieux,-20.3428,57.7575,296.6,94,75,1.54,MU,1674530258
257,ponta delgada,37.7333,-25.6667,288.55,67,75,7.2,PT,1674530259
258,college,64.8569,-147.8028,254.37,71,100,0.0,US,1674530260
259,west wendover,40.7391,-114.0733,270.71,74,100,3.09,US,1674530260
260,guanare,9.0418,-69.7421,298.71,54,92,1.43,VE,1674530261
261,mount gambier,-37.8333,140.7667,296.04,48,50,3.67,AU,1674530262
262,washougal,45.5826,-122.3534,281.19,83,100,1.54,US,1674530168
263,inyonga,-6.7167,32.0667,290.38,95,100,1.73,TZ,1674530263
264,klaksvik,62.2266,-6.589,281.66,97,100,8.15,FO,1674530264
265,terney,45.0503,136.6092,249.35,74,4,8.04,RU,1674530265
